side_radius_mm,lagrange,newton,spline,qr_polynomial
2.914999999999999858e+01,-7.328770301649517073e-03,-7.328770301649523145e-03,-7.799289788623105235e-03,2.042506437728341950e-02
2.920000000000000284e+01,-6.684709892009295037e-03,-6.684709892009296772e-03,-7.179106686531107340e-03,2.127669604589943475e-02
2.925000000000000000e+01,-6.021161809778898151e-03,-6.021161809778907692e-03,-6.534389928317549390e-03,2.213552061560708495e-02
2.930000000000000071e+01,-5.338187424432305588e-03,-5.338187424432316863e-03,-5.864933286489026204e-03,2.300142322227483049e-02
2.935000000000000142e+01,-4.635851556711442431e-03,-4.635851556711451105e-03,-5.170530533552316482e-03,2.387428900178001356e-02
2.939999999999999858e+01,-3.914222478625946355e-03,-3.914222478625953294e-03,-4.450975442014212802e-03,2.475400309000619359e-02
2.945000000000000284e+01,-3.173371913452982009e-03,-3.173371913452988080e-03,-3.706061784381289165e-03,2.564045062282094278e-02
2.950000000000000000e+01,-2.413375035737809135e-03,-2.413375035737810870e-03,-2.935583333160490804e-03,2.653351673610249151e-02
2.955000000000000071e+01,-1.634310471293051389e-03,-1.634310471293060063e-03,-2.139333860858395192e-03,2.743308656573084647e-02
2.960000000000000142e+01,-8.362602971992603388e-04,-8.362602971992566525e-04,-1.317107139981794905e-03,2.833904524757802079e-02
2.964999999999999858e+01,-1.931004180473136489e-05,-1.931004180474871212e-05,-4.686969430374790524e-04,2.925127791752046846e-02
2.970000000000000284e+01,8.164513152747500391e-04,8.164513152747604474e-04,4.061029574680061205e-04,3.016966971143641985e-02
2.975000000000000000e+01,1.670931343155256446e-03,1.670931343155240834e-03,1.307498789027663338e-03,3.109410576520232894e-02
2.980000000000000071e+01,2.544034159685551379e-03,2.544034159685543139e-03,2.235696779134956763e-03,3.202447121468843250e-02
2.985000000000000142e+01,3.435660431446427299e-03,3.435660431446427299e-03,3.190903155283086878e-03,3.296065119577740177e-02
2.989999999999999858e+01,4.345707373750945859e-03,4.345707373750937186e-03,4.173324144965261107e-03,3.390253084434391440e-02
2.995000000000000284e+01,5.274068750644698989e-03,5.274068750644692050e-03,5.183165975674933201e-03,3.484999529625998349e-02
3.000000000000000000e+01,6.220634874905095479e-03,6.220634874905095479e-03,6.220634874905095479e-03,3.580292968740739212e-02
3.005000000000000071e+01,7.185292608042274758e-03,7.185292608042251339e-03,7.285810895589513343e-03,3.676121915365815340e-02
3.010000000000000142e+01,8.167925360298382634e-03,8.167925360298367021e-03,8.378269392422796336e-03,3.772474883089049769e-02
3.014999999999999858e+01,9.168413090647834982e-03,9.168413090647822838e-03,9.497459545539830086e-03,3.869340385497821444e-02
3.020000000000000284e+01,1.018663230679759703e-02,1.018663230679760223e-02,1.064283053507582462e-02,3.966706936180042220e-02
3.025000000000000000e+01,1.122245606518642094e-02,1.122245606518640360e-02,1.181383154116542183e-02,4.064563048723357497e-02
3.030000000000000071e+01,1.227575397098581642e-02,1.227575397098580601e-02,1.300991174394383262e-02,4.162897236714879767e-02
3.035000000000000142e+01,1.334639217809928911e-02,1.334639217809928391e-02,1.423052032354594348e-02,4.261698013742520885e-02
3.039999999999999858e+01,1.443423338916259742e-02,1.443423338916260956e-02,1.547510646010662877e-02,4.360953893394103886e-02
3.045000000000000284e+01,1.553913685554410284e-02,1.553913685554408897e-02,1.674311933376113060e-02,4.460653389256918899e-02
3.050000000000000000e+01,1.666095837734387491e-02,1.666095837734388185e-02,1.803400812464404923e-02,4.560785014918522506e-02
3.055000000000000071e+01,1.779955030339479966e-02,1.779955030339477884e-02,1.934722201289061985e-02,4.661337283966915379e-02
3.060000000000000142e+01,1.895476153126175040e-02,1.895476153126172958e-02,2.068221017863573416e-02,4.762298709989476464e-02
3.064999999999999858e+01,2.012643750724183583e-02,2.012643750724184277e-02,2.203842180201424222e-02,4.863657806573584708e-02
3.070000000000000284e+01,2.131442022636478167e-02,2.131442022636476086e-02,2.341530606316141738e-02,4.965403087307151964e-02
3.075000000000000000e+01,2.251854823239200082e-02,2.251854823239199388e-02,2.481231214221182521e-02,5.067523065778001268e-02
3.080000000000000071e+01,2.373865661781776604e-02,2.373865661781776604e-02,2.622888921930073905e-02,5.170006255573067477e-02
3.085000000000000142e+01,2.497457702386829057e-02,2.497457702386826628e-02,2.766448647456301591e-02,5.272841170280262446e-02
3.089999999999999858e+01,2.622613764050204729e-02,2.622613764050203689e-02,2.911855308813352319e-02,5.376016323487675663e-02
3.095000000000000284e+01,2.749316320641012612e-02,2.749316320641012612e-02,3.059053824014754119e-02,5.479520228782241986e-02
3.100000000000000000e+01,2.877547500901528679e-02,2.877547500901529720e-02,3.207989111073961813e-02,5.583341399751784451e-02
3.105000000000000071e+01,3.007289088447318362e-02,3.007289088447316627e-02,3.358606088004503082e-02,5.687468349984037275e-02
3.110000000000000142e+01,3.138522521767136281e-02,3.138522521767135587e-02,3.510849672819865014e-02,5.791889593066645858e-02
3.114999999999999858e+01,3.271228894222966144e-02,3.271228894222967531e-02,3.664664783533532616e-02,5.896593642586900330e-02
3.120000000000000284e+01,3.405388954050056483e-02,3.405388954050055095e-02,3.819996338159035998e-02,6.001569012132712544e-02
